position,video_id,url,title,published_at,duration_seconds,is_short
0,PbwnUH09qYM,https://www.youtube.com/watch?v=PbwnUH09qYM,The Differences Between In-House and Agency Marketing with Tory Kindlick,2023-12-02T17:06:24Z,2245,false
1,aVfMcsakS3o,https://www.youtube.com/watch?v=aVfMcsakS3o,The Re-launch of Tech Qualified,2023-12-05T16:24:58Z,2458,false
2,4BlcZSeOvPA,https://www.youtube.com/watch?v=4BlcZSeOvPA,Balancing Creativity and Strategy in Small Team Marketing with Rachel Cottam,2023-12-05T16:47:55Z,2279,false
3,w4w2XKXtlUM,https://www.youtube.com/watch?v=w4w2XKXtlUM,Discussing the Difficulties of Being a Content Marketing Team of One,2024-01-29T11:32:29Z,2025,false
4,cykvKZ4Xn9g,https://www.youtube.com/watch?v=cykvKZ4Xn9g,"How You Should Build Your Small, Scrappy Marketing Team",2024-02-12T11:38:17Z,2002,false
5,akrxi0sWDkA,https://www.youtube.com/watch?v=akrxi0sWDkA,How to Design an Event Strategy for a Small Marketing Team,2024-02-27T13:42:12Z,2830,false
6,spRUarT7ALQ,https://www.youtube.com/watch?v=spRUarT7ALQ,How to Build a Marketing Engine through Content with Joe Michalowski,2024-03-12T12:02:17Z,2866,false
7,Q-LOZ-_rZN8,https://www.youtube.com/watch?v=Q-LOZ-_rZN8,The Lean Content Machine: Strategies for Scrappy Marketers,2024-04-04T12:27:17Z,2327,false
8,VbKY-r5wJaI,https://www.youtube.com/watch?v=VbKY-r5wJaI,Beyond the Blog: How Episodic Content Can Give Small Marketing Teams a Strategic Advantage,2024-04-18T11:40:11Z,3043,false
9,k-ixSg3lwq8,https://www.youtube.com/watch?v=k-ixSg3lwq8,The impact of executives within an organization contributing on social media,2024-05-02T11:50:20Z,2428,false
10,2MBSpDrRze8,https://www.youtube.com/watch?v=2MBSpDrRze8,How Small B2B Teams Are Leveraging Paid Media,2024-05-16T12:04:56Z,2490,false
11,uiGmNsqC09s,https://www.youtube.com/watch?v=uiGmNsqC09s,How to Use Asynchronous Recordings in Your Content Program,2024-05-31T11:14:55Z,1617,false
12,m7JPVn18gO4,https://www.youtube.com/watch?v=m7JPVn18gO4,How to leverage B2B influencer with a small team,2024-06-13T12:03:34Z,2112,false
13,oncS8RWb3To,https://www.youtube.com/watch?v=oncS8RWb3To,Balancing Marketing Fundamentals with Innovation,2024-06-27T11:29:18Z,2759,false
14,oGqbff4ocGY,https://www.youtube.com/watch?v=oGqbff4ocGY,Building a Brand from Scratch: Strategies for Small Marketing Teams,2024-07-11T11:39:31Z,2295,false
15,9kSIFxA4Iu4,https://www.youtube.com/watch?v=9kSIFxA4Iu4,"How to grow a newsletter as a small, scrappy marketing team",2024-07-25T11:56:40Z,2643,false
